Country Name,Power Index,Available Manpower,Purchasing Power Parity,Defense Budget,Active Personnel,Reserve Personnel,Air Force Personnel,Army Personnel,Navy Personnel,Aircraft Total,Attack,Fighters,Transport,Helicopters,Special-Mission,Trainers,Attack Helicopters,Tanker,Naval Assets,Aircraft Carriers,Helicopter Carriers,Destroyers,Frigates,Corvettes,Submarines,Patrol Vessels,Mine Warfare,Tanks,Self-Propelled Artillery,Towed Artillery,Rocket Artillery,External Debt
South-africa,0.6843,"27,803,618","$870,420,000,000 USD","$2,877,000,000 USD","68,731","29,350","13,815","53,872","7,890",181,0 (0.0%),2 (1.1%),11 (6.1%),87 (48.1%),0 (0.0%),81 (44.8%),10 (5.5%),0 (0.0%),63,0,0,0,4,0,3,42,4,248,52,434,201,"$93,879,000,000 USD"
South-korea,0.1642,"26,040,900","$2,607,000,000,000 USD","$44,800,000,000 USD","450,000","3,100,000","65,000","365,000","70,000","1,540",98 (6.4%),242 (15.7%),40 (2.6%),827 (53.7%),35 (2.3%),335 (21.8%),113 (7.3%),4 (0.3%),215,0,2,14,18,3,22,96,14,"1,831","2,780","5,800",525,"$553,871,450,000 USD"
South-sudan,2.4645,"6,351,857","$6,752,000,000 USD","$30,700,000 USD","185,000",0,230,"184,120",325,19,0 (0.0%),0 (0.0%),4 (21.1%),15 (78.9%),0 (0.0%),0 (0.0%),6 (31.6%),0 (0.0%),100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,122,24,0,15,"$2,722,500,000 USD"
Spain,0.3247,"21,748,999","$2,361,000,000,000 USD","$39,000,676,350 USD","121,802","24,033","23,000","85,978","20,840",440,12 (2.7%),136 (30.9%),51 (11.6%),169 (38.4%),8 (1.8%),108 (24.5%),17 (3.9%),0 (0.0%),175,1,0,0,11,0,2,112,6,298,96,188,0,"$2,830,012,130,000 USD"
Sri-lanka,1.3822,"10,551,652","$301,407,000,000 USD","$1,500,000,000 USD","346,000","90,000","26,000","150,000","40,000",90,0 (0.0%),6 (6.7%),15 (16.7%),49 (54.4%),3 (3.3%),7 (7.8%),8 (8.9%),0 (0.0%),275,0,0,0,5,0,0,259,0,87,0,96,28,"$42,198,000,000 USD"
Sudan,1.3563,"26,747,657","$94,420,000,000 USD","$394,700,000 USD","300,000","200,000","13,000","485,500","2,000",183,36 (19.7%),37 (20.2%),13 (7.1%),64 (35.0%),0 (0.0%),33 (18.0%),35 (19.1%),0 (0.0%),10,0,0,0,0,0,0,10,0,"1,055",100,"1,150",800,"$21,650,000,000 USD"
Suriname,4.0538,"142,287","$12,316,000,000 USD","$58,440,000 USD","2,500",0,150,"1,000",250,3,0 (0.0%),0 (0.0%),0 (0.0%),3 (100.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),17,0,0,0,0,0,0,17,0,0,0,0,0,"$2,645,000,000 USD"
Sweden,0.4834,"4,235,934","$668,628,000,000 USD","$15,900,000,000 USD","25,600","34,000","8,255","15,300","2,100",172,0 (0.0%),73 (42.4%),6 (3.5%),53 (30.8%),3 (1.7%),36 (20.9%),0 (0.0%),1 (0.6%),279,0,0,0,0,7,4,116,8,110,24,0,0,"$1,102,693,570,000 USD"
Switzerland,0.8396,"3,898,653","$741,035,000,000 USD","$8,372,658,426 USD","147,178",0,"20,000","127,178",0,141,0 (0.0%),40 (28.4%),16 (11.3%),39 (27.7%),3 (2.1%),43 (30.5%),0 (0.0%),0 (0.0%),100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,134,133,0,0,"$2,420,000,000,000 USD"
Syria,1.8861,"15,273,871","$98,858,000,000 USD","$145,925,000 USD","100,000",0,"7,500","100,000","3,250",104,5 (4.8%),52 (50.0%),2 (1.9%),39 (37.5%),0 (0.0%),8 (7.7%),7 (6.7%),0 (0.0%),12,0,0,0,0,0,0,8,0,168,60,0,0,"$4,441,250,000 USD"
